status_code,dataset_url,external_link
404,https://www.chattadata.org/dataset/Bike-Share/dy8r-jwrv,http://geoportal.congeo.opendata.arcgis.com/datasets/6c6b52e79cc147febd657a91791a0a44_0.zip
404,https://www.chattadata.org/dataset/Rock-Climbing/3v68-56yh,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_10.zip
404,https://www.chattadata.org/dataset/Bike-Share-Locations/d8j2-d5yj,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_8.zip
404,https://www.chattadata.org/dataset/Census-Tapestry-Segmentation/kvr2-hdfg,http://geoportal.congeo.opendata.arcgis.com/datasets/0117ad35fb084831979c7f1e25e02a9e_0.zip
404,https://www.chattadata.org/dataset/Better-Built-Homes/2hnw-q98x,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_5.zip
404,https://www.chattadata.org/dataset/Tornadoes/eijm-wm6f,http://geoportal.congeo.opendata.arcgis.com/datasets/5590f75c81b24c8f816831d95daaa153_0.zip
404,https://www.chattadata.org/dataset/CARTA-Free-Shuttle/vhrn-qv2d,http://geoportal.congeo.opendata.arcgis.com/datasets/e292adcbb9bb4a6caa4bd4e0a05d19ce_1.zip
404,https://www.chattadata.org/dataset/Stream/ynxi-e9y6,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_5.zip
404,https://www.chattadata.org/dataset/Disc-Golf-Courses/tx87-wuwq,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_5.zip
404,https://www.chattadata.org/dataset/Solar-Energy-Sites/3cp6-wsby,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_7.zip
404,https://www.chattadata.org/dataset/Entertainment-Theater-Arena-Concert-Hall-/i5eq-p4up,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_6.zip
404,https://www.chattadata.org/dataset/Prentice-Cooper-State-Forest/wtdr-xr6e,http://geoportal.congeo.opendata.arcgis.com/datasets/d0111ac0e16341b48418e27a152b16cb_1.zip
404,https://www.chattadata.org/dataset/Public-Parks-and-Open-Spaces-of-Hamilton-County-TN/mgir-6nzk,http://geoportal.congeo.opendata.arcgis.com/datasets/581b8947743d4302ba38c0401d1b9f11_0.zip
404,https://www.chattadata.org/dataset/Strip-Mines/se9k-5ffw,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_7.zip
404,https://www.chattadata.org/dataset/Electric-Vehicle-Charging-Stations/n3pu-2kff,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_13.zip
404,https://www.chattadata.org/dataset/Level-III-Ecoregions/56zv-y27b,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_8.zip
404,https://www.chattadata.org/dataset/Waterfalls/6mh3-bg3z,http://geoportal.congeo.opendata.arcgis.com/datasets/e5b1a086060545f497a4c1dbf5fd8eb0_0.zip
404,https://www.chattadata.org/dataset/Sewage-Water-Treatment/jcuy-2gwg,http://geoportal.congeo.opendata.arcgis.com/datasets/ec8dc959e8204bae81b0645f588a2a7c_0.zip
404,https://www.chattadata.org/dataset/Mine-or-Quarry/xeh7-qpjb,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_1.zip
404,https://www.chattadata.org/dataset/Rail/42hm-xks5,http://geoportal.congeo.opendata.arcgis.com/datasets/5cde6f99ace240048b463de7a36dde53_0.zip
404,https://www.chattadata.org/dataset/CARTA-Bus-Stops/5efu-dqat,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_14.zip
404,https://www.chattadata.org/dataset/Places/837w-ipgj,http://geoportal.congeo.opendata.arcgis.com/datasets/82e8b4e608254f6b950e6b3031ef64c6_0.zip
404,https://www.chattadata.org/dataset/Golf-Courses/gxgj-8psj,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_7.zip
404,https://www.chattadata.org/dataset/Blueways/wnxb-d6ce,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_13.zip
404,https://www.chattadata.org/dataset/CARTA-Free-Shuttle/9j9m-p4a5,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_12.zip
404,https://www.chattadata.org/dataset/Solar-Energy-Sites/ciqe-rp7x,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_7.zip
404,https://www.chattadata.org/dataset/Trails-of-North-Chickamauga-Creek-Watershed/8r2w-5vt8,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_3.zip
404,https://www.chattadata.org/dataset/Counties/ugzu-kgc7,http://geoportal.congeo.opendata.arcgis.com/datasets/171a273c523e46eca8d668253cee9c11_0.zip
404,https://www.chattadata.org/dataset/Airports/yefy-6nk4,http://geoportal.congeo.opendata.arcgis.com/datasets/64fdfc74157a42b7a429a939dd370e2c_0.zip
404,https://www.chattadata.org/dataset/Disc-Golf-Courses/tjmp-rv5t,http://geoportal.congeo.opendata.arcgis.com/datasets/1dc6e9e77224476c8a06141ddf834391_0.zip
404,https://www.chattadata.org/dataset/Tennessee-Bike-Routes/w57s-54ps,http://geoportal.congeo.opendata.arcgis.com/datasets/9f8f5798e7fa40978cbca233cca57665_0.zip
404,https://www.chattadata.org/dataset/Community-Gardens/vs6y-rhks,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_1.zip
404,https://www.chattadata.org/Public-Health/500-Cities-Census-Tract-level-Data-GIS-Friendly-Fo/6irz-5cr5,https://www.cdc.gov/500cities/measure-definitions.htm
404,https://www.chattadata.org/dataset/Green-Roofs/n2pn-cv9k,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_6.zip
404,https://www.chattadata.org/dataset/Boat-Ramps-and-Marinas/4wqi-hib8,http://geoportal.congeo.opendata.arcgis.com/datasets/b78dfaa7a9244119a016acd71db20dc5_0.zip
404,https://www.chattadata.org/dataset/AveragePrecip1951-2006/mvbd-bm98,http://geoportal.congeo.opendata.arcgis.com/datasets/0b50ec4fdf7847d18092bd0a1ba5a16a_3.zip
404,https://www.chattadata.org/dataset/CARTA-Stops/8kej-bu5j,http://geoportal.congeo.opendata.arcgis.com/datasets/e292adcbb9bb4a6caa4bd4e0a05d19ce_2.zip
404,https://www.chattadata.org/dataset/Employers/yw79-7txg,http://geoportal.congeo.opendata.arcgis.com/datasets/17f87c1f7ecc4856a388e7bf6fecd21c_0.zip
404,https://www.chattadata.org/dataset/TRGT-Lands/ff5c-hnxq,http://geoportal.congeo.opendata.arcgis.com/datasets/d0111ac0e16341b48418e27a152b16cb_0.zip
404,https://www.chattadata.org/dataset/Schools-Universities/j2ua-ftc9,http://geoportal.congeo.opendata.arcgis.com/datasets/422e1a656de241648940cef5cca2e6af_0.zip
404,https://www.chattadata.org/dataset/Leadership-in-Energy-and-Environmental-Design-Buil/jvqi-am9i,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_4.zip
404,https://www.chattadata.org/dataset/Bike-Share-Station-Locations/u85z-c68t,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_3.zip
404,https://www.chattadata.org/dataset/Local-Farms/nb3t-gj43,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_2.zip
404,https://www.chattadata.org/dataset/Bike-Share-Locations/wc3e-gpby,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_8.zip
404,https://www.chattadata.org/dataset/North-Chickamauga-Creek-Watershed/95n6-4n34,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_6.zip
404,https://www.chattadata.org/dataset/Greenways-Trails-and-Routes/h8yw-2fib,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_14.zip
404,https://www.chattadata.org/dataset/Aquifers/jnc3-zmm9,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_9.zip
404,https://www.chattadata.org/dataset/Dams/pgku-dugf,http://geoportal.congeo.opendata.arcgis.com/datasets/60f438d82ff2454b811eff7b4a538433_0.zip
404,https://www.chattadata.org/dataset/All-Recreation-Trails/kkxq-jcui,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_12.zip
404,https://www.chattadata.org/dataset/Greenways-and-Urban-Trails/8fzz-r5vz,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_11.zip
404,https://www.chattadata.org/dataset/Greenway-Farm-Trails/5c2j-g69e,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_4.zip
404,https://www.chattadata.org/dataset/Primitive-Camping/qw5d-qexw,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_2.zip
404,https://www.chattadata.org/dataset/Mountain-Biking-Trails/sqbu-gs2r,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_13.zip
404,https://www.chattadata.org/dataset/Electric-Vehicle-Charging-Stations/rqnw-e4ru,http://geoportal.congeo.opendata.arcgis.com/datasets/7be618bc9ede4b02aec354e4cbe1a2b3_0.zip
404,https://www.chattadata.org/dataset/Georgia-Road-Bike-Routes/gaq8-8bk5,http://geoportal.congeo.opendata.arcgis.com/datasets/b633c0dd5950413cbf17900c75e08837_1.zip
404,https://www.chattadata.org/dataset/Local-Farms/fgr8-y4c4,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_2.zip
404,https://www.chattadata.org/dataset/Trail-Parking/fwtx-ey87,http://geoportal.congeo.opendata.arcgis.com/datasets/59768e62e03a4bfba845d70464fc5437_0.zip
404,https://www.chattadata.org/dataset/Green-Roofs/srs4-vq9q,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_6.zip
404,https://www.chattadata.org/dataset/Public-Recycling-Sites/djx7-9tya,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_15.zip
404,https://www.chattadata.org/dataset/Fires/fugi-t9x7,http://geoportal.congeo.opendata.arcgis.com/datasets/198a7a5ee332406fa767218ef2e12da0_0.zip
404,https://www.chattadata.org/dataset/Rock-Climbing/g6qd-kv55,http://geoportal.congeo.opendata.arcgis.com/datasets/6ccd41ab079f4df0b1a829824b71cb95_0.zip
404,https://www.chattadata.org/dataset/Recreation-Trails/gf2j-85ja,http://geoportal.congeo.opendata.arcgis.com/datasets/3b85ab22de6c40719ee767b6ed9075cb_0.zip
404,https://www.chattadata.org/dataset/Mountain-Bike-Trails/apj6-jk8u,http://geoportal.congeo.opendata.arcgis.com/datasets/d2c3a198b0544c90998a92cc6c7b4cad_0.zip
404,https://www.chattadata.org/dataset/Farmers-Markets/yfqy-s6wc,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_0.zip
404,https://www.chattadata.org/dataset/Geology/ba25-b8n4,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_10.zip
404,https://www.chattadata.org/dataset/Tennessee-Green-Hospitality-Certified-Businesses/mmyp-f27h,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_3.zip
404,https://www.chattadata.org/dataset/Leadership-in-Energy-and-Environmental-Design-Buil/5aa2-5e9r,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_4.zip
404,https://www.chattadata.org/dataset/CARTA-Free-Shuttle/5k6v-ub59,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_15.zip
404,https://www.chattadata.org/dataset/Hang-Gliding/x6s4-8frz,http://geoportal.congeo.opendata.arcgis.com/datasets/9476abda0a474f2b87e7a7d8cd36d4e1_0.zip
404,https://www.chattadata.org/dataset/Bicycle-Lanes-and-Trails/wi5f-qzqc,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_9.zip
404,https://www.chattadata.org/dataset/Wildlife-Centers-and-Zoos/hdjh-5qv6,http://geoportal.congeo.opendata.arcgis.com/datasets/e3ecd149eea348119a591399c31e259c_0.zip
404,https://www.chattadata.org/dataset/Access-Parking-and-Trailheads/siey-p7rs,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_0.zip
404,https://www.chattadata.org/dataset/Tennnessee-Road-Bike-Routes/xqtb-nefd,http://geoportal.congeo.opendata.arcgis.com/datasets/b633c0dd5950413cbf17900c75e08837_0.zip
404,https://www.chattadata.org/dataset/PrecipitationIncreaseBy2050/4jdp-apjc,http://geoportal.congeo.opendata.arcgis.com/datasets/0b50ec4fdf7847d18092bd0a1ba5a16a_5.zip
500,https://www.chattadata.org/dataset/Hemlock-Stands-Beta/g43v-s5a7,http://geoportal.congeo.opendata.arcgis.com/datasets/545e213ad810442d9bd76a6c9ba0464d_0.geojson
404,https://www.chattadata.org/dataset/Waterfalls/d6ey-fzap,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_14.zip
404,https://www.chattadata.org/dataset/100-Mile-Food-Shed/jrd5-jnq4,http://geoportal.congeo.opendata.arcgis.com/datasets/aa5d72c7826e4c73ad4a438a385cafa3_0.zip
404,https://www.chattadata.org/dataset/PrecipitationIncreaseBy2080/g2w6-9sqa,http://geoportal.congeo.opendata.arcgis.com/datasets/0b50ec4fdf7847d18092bd0a1ba5a16a_4.zip
404,https://www.chattadata.org/dataset/Organic-Farms/khke-8jw8,http://geoportal.congeo.opendata.arcgis.com/datasets/c6c053b965df4654b359fedb2ed4f8f3_0.zip
404,https://www.chattadata.org/dataset/Points-of-Interest/fck5-jqqj,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_0.zip
404,https://www.chattadata.org/dataset/Blueways/k9m7-gdrw,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_10.zip
404,https://www.chattadata.org/dataset/AMD-Treatment-Site/q5sx-w9mt,http://geoportal.congeo.opendata.arcgis.com/datasets/7d5bec3e4ef844be9b6122b917b30e85_2.zip
404,https://www.chattadata.org/dataset/CARTA-Routes/u3pq-bh4y,http://geoportal.congeo.opendata.arcgis.com/datasets/e292adcbb9bb4a6caa4bd4e0a05d19ce_0.zip
404,https://www.chattadata.org/dataset/TempChangeBy2050/nm53-v3j2,http://geoportal.congeo.opendata.arcgis.com/datasets/0b50ec4fdf7847d18092bd0a1ba5a16a_1.zip
404,https://www.chattadata.org/dataset/Public-or-Protected-Lands-and-Waterways/7scr-7qjk,http://geoportal.congeo.opendata.arcgis.com/datasets/5dfebb9d8a4f45aa99dc0559f001d913_0.zip
404,https://www.chattadata.org/dataset/Greenways-Trails-and-Routes/qxve-v8is,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_11.zip
404,https://www.chattadata.org/dataset/CARTA-Bus-Stops/mvzw-854j,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_10.zip
404,https://www.chattadata.org/dataset/Georgia-Bike-Routes/r84z-xaex,http://geoportal.congeo.opendata.arcgis.com/datasets/9f8f5798e7fa40978cbca233cca57665_1.zip
404,https://www.chattadata.org/dataset/Hang-Gliding/qckd-hmm9,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_8.zip
404,https://www.chattadata.org/dataset/Community-Gardens/gbyj-vdze,http://geoportal.congeo.opendata.arcgis.com/datasets/efe5740fb8854895820e47a6d0f1eaf6_0.zip
404,https://www.chattadata.org/dataset/TempChangeBy2080/84qr-487n,http://geoportal.congeo.opendata.arcgis.com/datasets/0b50ec4fdf7847d18092bd0a1ba5a16a_2.zip
404,https://www.chattadata.org/dataset/Better-Built-Homes/6wxq-2sga,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_5.zip
404,https://www.chattadata.org/dataset/Farmers-Markets/2e49-stg8,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_0.zip
404,https://www.chattadata.org/dataset/Museums/m6tv-3esh,http://geoportal.congeo.opendata.arcgis.com/datasets/d65cc808afd9400fb91f87aa06baa5be_0.zip
404,https://www.chattadata.org/dataset/Public-Protected-Lands/9cjr-89gy,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_16.zip
404,https://www.chattadata.org/dataset/Farmers-Markets/64fh-miss,http://geoportal.congeo.opendata.arcgis.com/datasets/565d50ddc832425cbbcfac1fcf1ad340_0.zip
404,https://www.chattadata.org/dataset/Bicycle-Lanes-and-Trails/27m5-cauk,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_12.zip
404,https://www.chattadata.org/dataset/Amenities-Camping/wki6-p9z3,http://geoportal.congeo.opendata.arcgis.com/datasets/d44804b4299e42d1b46ec6408235a854_0.zip
404,https://www.chattadata.org/dataset/Wildlife-Centers-Zoos/fh7j-iv7n,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_15.zip
404,https://www.chattadata.org/dataset/Community-Gardens/c3j4-qfy8,http://geoportal.congeo.opendata.arcgis.com/datasets/6eb97f43aef14b9b99f4b4ebc37188fb_1.zip
404,https://www.chattadata.org/dataset/AverageTemp1951-2006/2sbt-wqtw,http://geoportal.congeo.opendata.arcgis.com/datasets/0b50ec4fdf7847d18092bd0a1ba5a16a_0.zip
404,https://www.chattadata.org/dataset/50-Mile-Food-Shed/t6q8-6z4s,http://geoportal.congeo.opendata.arcgis.com/datasets/aa5d72c7826e4c73ad4a438a385cafa3_1.zip
404,https://www.chattadata.org/dataset/DriveTimeJobs/ttpy-uqwb,http://geoportal.congeo.opendata.arcgis.com/datasets/8fff29b578024bcb8f8064c03ddc06c2_0.zip
404,https://www.chattadata.org/dataset/Electric-Vehicle-Charging-Stations/p3xi-8fcb,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_11.zip
404,https://www.chattadata.org/dataset/Tennessee-Green-Hospitality-Certified-Businesses/a5mb-kguc,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_3.zip
404,https://www.chattadata.org/dataset/Entertainment-Venues/u4yf-t6p7,http://geoportal.congeo.opendata.arcgis.com/datasets/f3aa4446bd0d40cdbf44373d0a337efb_0.zip
404,https://www.chattadata.org/dataset/Public-Recycling-Sites/rq45-ngd2,http://geoportal.congeo.opendata.arcgis.com/datasets/2e74baeff3cd48d6985c69e19e35f051_9.zip
404,https://www.chattadata.org/dataset/Museums/nda6-s5fy,http://geoportal.congeo.opendata.arcgis.com/datasets/c5ad5defd4274cb6855d5ebeff95cd15_9.zip
404,https://www.chattadata.org/dataset/Primitive-Camping/imu3-dy8b,http://geoportal.congeo.opendata.arcgis.com/datasets/097941b065a542a9a74ec73f934d91d4_0.zip
